,filename,MTF0.25,MTF0.5,x_coord,y_coord,meas_index,f_no,focal_length,lens_name
82,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4248.tif,0.13795147918620393,0.006726067590587963,560.0194805194806,858.5129870129863,2,8.0,10.0,XF10-24mmF4 R OIS
83,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4248.tif,0.17491083431318563,0.017188146199317595,576.2272727272727,3370.7207792207787,3,8.0,10.0,XF10-24mmF4 R OIS
84,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4248.tif,0.14988491820726174,0.007346297234277967,5849.162337662337,3359.915584415584,4,8.0,10.0,XF10-24mmF4 R OIS
85,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4262.tif,0.42797546519288354,0.06551918594869677,3153.266233766233,1717.5259740259735,0,8.0,10.0,XF10-24mmF4 R OIS
86,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4262.tif,0.31881128144216625,0.019291889871717458,5854.564935064935,890.9285714285711,1,8.0,10.0,XF10-24mmF4 R OIS
87,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4262.tif,0.21248560528591676,0.049798171877107424,560.0194805194806,858.5129870129863,2,8.0,10.0,XF10-24mmF4 R OIS
88,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4262.tif,0.24185650381585408,0.044090280092359393,576.2272727272727,3370.7207792207787,3,8.0,10.0,XF10-24mmF4 R OIS
89,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4262.tif,0.3300192885061477,0.060267249101291255,5849.162337662337,3359.915584415584,4,8.0,10.0,XF10-24mmF4 R OIS
90,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4238.tif,0.23216878728885898,0.040342159994686926,3153.266233766233,1717.5259740259735,0,4.0,10.0,XF10-24mmF4 R OIS
91,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4238.tif,0.23702630360127988,0.002946686684682631,5854.564935064935,890.9285714285711,1,4.0,10.0,XF10-24mmF4 R OIS
92,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4238.tif,0.18155463641306932,0.0200817484019147,560.0194805194806,858.5129870129863,2,4.0,10.0,XF10-24mmF4 R OIS
93,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4238.tif,0.1544818767736067,0.025787009436514043,576.2272727272727,3370.7207792207787,3,4.0,10.0,XF10-24mmF4 R OIS
94,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4238.tif,0.2330058463958448,0.003883892741797491,5849.162337662337,3359.915584415584,4,4.0,10.0,XF10-24mmF4 R OIS
95,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4239-2.tif,0.22857278718740617,0.028861150971052095,3153.266233766233,1717.5259740259735,0,4.0,10.0,XF10-24mmF4 R OIS
96,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4239-2.tif,0.22579278203040554,0.017214919316365977,5854.564935064935,890.9285714285711,1,4.0,10.0,XF10-24mmF4 R OIS
97,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4239-2.tif,0.16787070877458782,0.037092844576302644,560.0194805194806,858.5129870129863,2,4.0,10.0,XF10-24mmF4 R OIS
98,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4239-2.tif,0.16791693029872906,0.015116321347257426,576.2272727272727,3370.7207792207787,3,4.0,10.0,XF10-24mmF4 R OIS
99,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4239-2.tif,0.22272925729536022,0.02536529461465416,5849.162337662337,3359.915584415584,4,4.0,10.0,XF10-24mmF4 R OIS
